	Unnamed: 0_x	person_id	arrest_id_x	charge_degree	offense_category	arrest_date_event	Unnamed: 0_y	arrest_id_y	age_at_arrest	sex	race	arrest_date_univ	y	current_charge_felony	num_fel_arrests_last_year
4145	2188	542158	11435642	misdemeanor	drug	2012-06-26	216	6837789	31.87945205479452	M	mixed	2016-07-16	0	0	0
1536	1520	51504	11435111	misdemeanor	drug	2012-06-26	838	7041731	48.94794520547945	M	Black	2016-05-18	0	0	0
5195	5950	1072559	11437678	misdemeanor	other	2012-06-26	467	6845142	55.02739726027397	M	White	2016-07-15	0	0	0
1543	871	51530	11435195	misdemeanor	violent	2012-06-26	770	2916797	32.6958904109589	F	Black	2018-10-03	1	0	0
2477	182	78786	11434679	misdemeanor	other	2012-06-26	479	6645202	24.15068493150685	M	White	2016-09-12	0	0	0
3182	3420	114124	11433743	misdemeanor	property	2012-06-27	21	6060715	55.07671232876712	M	Black	2017-03-01	0	0	0
2065	502	67939	13580851	misdemeanor	property	2012-06-27	707	5475688	60.42191780821918	M	Black	2017-07-21	0	0	0
2063	450	67939	11431407	misdemeanor	property	2012-06-27	707	5475688	60.42191780821918	M	Black	2017-07-21	0	0	0
4181	3663	571225	11430441	misdemeanor	drug	2012-06-28	381	6053989	53.654794520547945	M	Black	2017-03-02	1	0	0
5472	1344	1241445	11428280	misdemeanor	property	2012-06-28	732	6213037	27.578082191780823	M	White	2017-01-21	0	0	0
4572	5021	913768	11425032	misdemeanor	other	2012-06-29	675	7583303	41.04383561643836	M	Black	2016-01-08	0	0	0
1658	1081	56320	11423824	felony	other	2012-06-30	762	4840593	35.95890410958904	M	Black	2017-11-11	0	1	0
3078	3811	93743	11424214	misdemeanor	other	2012-06-30	640	7392722	22.873972602739727	M	Black	2016-03-03	0	0	0
4177	3662	570963	11424142	misdemeanor	violent	2012-06-30	428	6165914	40.92328767123288	M	Black	2017-02-03	0	0	0
4614	882	929734	11422983	misdemeanor	drug	2012-07-01	297	2971473	40.465753424657535	M	White	2018-09-24	0	0	0
5588	2286	1302621	11420047	misdemeanor	violent	2012-07-02	85	2907242	54.24657534246575	M	Black	2018-10-05	0	0	0
2843	1080	85929	11415390	felony	drug	2012-07-03	963	5226476	35.0	M	Black	2017-09-08	0	1	0
5480	1532	1243038	11413763	misdemeanor	property	2012-07-04	798	5295157	26.56712328767124	M	Black	2017-08-25	0	0	0
3917	2189	351751	11413877	misdemeanor	violent	2012-07-04	171	6215292	23.90410958904109	F	White	2017-01-20	0	0	0
3087	3419	95389	11412300	misdemeanor	other	2012-07-05	897	5251707	36.84109589041096		Black	2017-09-04	0	0	0
247	881	9523	11406557	misdemeanor	violent	2012-07-06	359	3126179	27.695890410958903	M	Black	2018-08-26	1	0	0
252	4689	9523	11406556	misdemeanor	drug	2012-07-06	359	3126179	27.695890410958903	M	Black	2018-08-26	1	0	0
5280	2159	1116388	11407163	misdemeanor	property	2012-07-06	309	6585372	26.942465753424656	M	Black	2016-09-29	1	0	0
2585	4941	80524	11404555	misdemeanor	other	2012-07-07	828	6978316	38.4	M	Black	2016-06-06	0	0	0
3623	3660	316053	11404185	misdemeanor	violent	2012-07-08	353	5560634	41.33698630136986	F	White	2017-07-03	1	0	0
21	4732	2003	11387859	felony	drug	2012-07-12	325	3551844	53.465753424657535	M	Black	2018-06-22	0	1	1
497	703	15930	11388075	misdemeanor	violent	2012-07-12	335	4079940	26.504109589041096	M	Black	2018-03-31	0	0	0
276	877	10237	11384974	misdemeanor	violent	2012-07-13	516	3013712	26.4986301369863	M	Black	2018-09-16	0	0	0
4582	1529	915957	11384871	felony	drug	2012-07-13	70	7206185	48.07671232876712	M	mixed	2016-04-21	1	1	0
4979	3405	1055115	11387490	felony	property	2012-07-13	226	7371681	57.56164383561644	M	White	2016-03-09	0	1	4
1774	4731	57529	11384797	felony	drug	2012-07-13	153	7224958	25.56438356164384	M	Black	2016-04-17	1	1	2
4971	3319	1055115	28953530	felony	property	2012-07-13	226	7371681	57.56164383561644	M	White	2016-03-09	0	1	4
5767	181	1448386	11383129	misdemeanor	property	2012-07-14	1	5958672	44.989041095890414	M	Black	2017-03-29	0	0	0
4569	5018	913768	11374576	misdemeanor	other	2012-07-17	675	7583303	41.04383561643836	M	Black	2016-01-08	0	0	0
2368	5815	75450	11377195	misdemeanor	other	2012-07-17	81	7462166	53.10410958904109	M	White	2016-02-16	1	0	0
5275	3150	1114653	11377166	felony	violent	2012-07-17	78	3399268	39.16712328767123	M	Black	2018-07-20	1	1	0
2367	5813	75450	28242775	misdemeanor	other	2012-07-17	81	7462166	53.10410958904109	M	White	2016-02-16	1	0	0
4571	5020	913768	11370338	misdemeanor	other	2012-07-18	675	7583303	41.04383561643836	M	Black	2016-01-08	0	0	0
