	person_id	arrest_id	charge_degree	offense_category	arrest_date_event
3290	2508428	5485957	misdemeanor	drug	2017-07-19
3291	2497447	5560404	felony	violent	2017-07-04
3292	861665	4600627	misdemeanor	drug	2017-12-23
3293	861665	4936339	misdemeanor	property	2017-10-28
3294	1061804	5595372	misdemeanor	drug	2017-06-24
3295	2497431	6192743	felony	drug	2017-01-27
3296	861665	5217816	misdemeanor	property	2017-09-11
3297	860034	5229740	misdemeanor	property	2017-09-08
3298	1061804	6201008	misdemeanor	property	2017-01-25
3299	2515355	5436833	misdemeanor	property	2017-07-29
3300	2455042	5960269	misdemeanor	property	2017-03-29
3301	860034	5734456	felony	violent	2017-05-25
3302	2497431	6213863	felony	drug	2017-01-21
3303	1435646	4155587	misdemeanor	drug	2018-03-20
3304	2497447	3089778	felony	violent	2018-09-02
3305	1103608	4541881	misdemeanor	drug	2018-01-09
3306	861665	2497261	misdemeanor	drug	2018-12-23
3307	883902	3559253	misdemeanor	violent	2018-06-22
3308	1061804	3797438	misdemeanor	drug	2018-05-09
3309	43443	4437227	felony	violent	2018-01-27
3310	173473	3450453	misdemeanor	property	2018-07-12
3311	847667	1663362	misdemeanor	violent	2019-05-09
3312	847667	1336700	felony	property	2019-07-09
3313	847667	1611896	misdemeanor	violent	2019-05-17
3314	861665	1511132	misdemeanor	property	2019-06-04
3315	2452788	179136	felony	property	2020-02-26
3316	847667	8269935	misdemeanor	property	2020-11-05
3317	1055158	28951840	felony	violent	2012-01-12
3318	1055115	28952638	felony	property	2012-06-08
3319	1055115	28953530	felony	property	2012-07-13
3320	1072559	11253684	misdemeanor	property	2012-08-29
3321	1072559	11590817	misdemeanor	other	2012-05-07
3322	1072559	10589269	misdemeanor	property	2013-04-25
3323	1072559	10358545	misdemeanor	property	2013-07-15
3324	1072559	10520104	misdemeanor	property	2013-05-20
3325	1103608	10525905	misdemeanor	drug	2013-05-17
3326	1072559	9214004	misdemeanor	property	2014-07-28
3327	1072559	8807679	misdemeanor	property	2014-12-15
3328	1072559	8827695	misdemeanor	other	2014-12-08
3329	1072559	8845473	misdemeanor	other	2014-12-01
3330	1072559	8427705	misdemeanor	property	2015-04-19
3331	1072559	8485158	misdemeanor	property	2015-04-01
3332	1072559	8172703	misdemeanor	property	2015-07-10
3333	1297492	8127671	misdemeanor	drug	2015-07-24
3334	1072559	8518402	misdemeanor	property	2015-03-21
3335	1072559	6793302	misdemeanor	property	2016-08-01
3336	1072559	7400782	misdemeanor	violent	2016-03-01
3337	1072559	6890628	misdemeanor	property	2016-07-05
3338	1072559	6838092	misdemeanor	property	2016-07-16
3339	1297492	6860466	misdemeanor	property	2016-07-11
3340	1072559	7458814	misdemeanor	property	2016-02-17
3341	2558637	5052563	misdemeanor	violent	2017-10-07
3342	1072559	5460660	misdemeanor	property	2017-07-25
3343	1072559	5127102	misdemeanor	other	2017-09-25
3344	3355630	6055461	misdemeanor	drug	2017-03-02
3345	1072559	6288866	misdemeanor	property	2017-01-02
3346	1072559	6288867	misdemeanor	property	2017-01-02
3347	1072559	5912687	misdemeanor	property	2017-04-10
3348	1072559	5289832	misdemeanor	property	2017-08-28
3349	65834	5658290	misdemeanor	other	2017-06-12
3350	43838	5692483	misdemeanor	violent	2017-06-02
3351	1072559	6250144	misdemeanor	property	2017-01-11
3352	3359933	4513810	misdemeanor	violent	2018-01-14
3353	1072559	3871997	misdemeanor	property	2018-04-25
3354	1072559	3692085	misdemeanor	property	2018-05-29
3355	1072559	3860898	misdemeanor	property	2018-04-27
3356	1072559	2849725	misdemeanor	property	2018-10-17
3357	1072559	1274484	misdemeanor	other	2019-07-19
3358	1072559	630475	misdemeanor	property	2019-11-23
3359	1107929	1007267	misdemeanor	other	2019-09-10
3360	1072559	1342649	misdemeanor	property	2019-07-07
3361	1072559	789255	misdemeanor	property	2019-10-22
3362	1055115	11537447	felony	property	2012-05-25
3363	1072559	10494132	misdemeanor	other	2013-05-29
3364	60742	9093030	misdemeanor	other	2014-09-06
3365	222575	9364221	misdemeanor	other	2014-06-08
3366	1055158	7763889	misdemeanor	violent	2015-11-13
3367	1072559	8320304	misdemeanor	other	2015-05-24
3368	883902	8010993	felony	other	2015-08-29
3369	3352613	6944237	misdemeanor	property	2016-06-16
3370	43195	6944245	misdemeanor	other	2016-06-16
3371	43925	6954720	felony	drug	2016-06-14
3372	85806	6816869	misdemeanor	property	2016-07-23
3373	43925	6397213	felony	violent	2016-11-22
3374	48528	3627021	misdemeanor	other	2018-06-10
3375	1072559	3692084	misdemeanor	other	2018-05-29
3376	1072559	3829446	misdemeanor	property	2018-05-03
3377	1072559	3726445	misdemeanor	property	2018-05-22
3378	56090	1052047	misdemeanor	violent	2019-09-01
3379	1072559	6050646	misdemeanor	property	2017-03-03
3380	1348192	5668710	misdemeanor	other	2017-06-08
3381	3354887	5707539	misdemeanor	other	2017-05-30
3382	1075503	9824244	misdemeanor	property	2014-01-07
3383	1055115	7371681	misdemeanor	property	2016-03-09
3384	1074774	7021588	misdemeanor	property	2016-05-24
3385	1055158	7157820	misdemeanor	violent	2016-05-06
3386	1075503	7165052	misdemeanor	property	2016-05-04
3387	85806	7213164	misdemeanor	property	2016-04-20
3388	1055158	6281928	misdemeanor	violent	2017-01-03
3389	1074774	5022106	misdemeanor	property	2017-10-13
3390	1072559	6201090	misdemeanor	other	2017-01-25
3391	1055115	11440963	felony	property	2012-06-25
3392	1074774	11505120	misdemeanor	other	2012-06-04
3393	1074774	10858733	felony	violent	2013-01-19
3394	1055115	9850674	misdemeanor	property	2013-12-29
3395	1075503	9918761	misdemeanor	property	2013-12-10
3396	80009	7715052	misdemeanor	other	2015-11-28
3397	1055115	7300056	misdemeanor	property	2016-03-29
3398	1072904	6695366	misdemeanor	violent	2016-08-29
3399	847994	6803227	felony	property	2016-07-28
3400	1055115	7406824	felony	property	2016-02-29
3401	80009	6402865	felony	property	2016-11-21
3402	80009	6862481	felony	property	2016-07-09
3403	847994	487581	misdemeanor	violent	2019-12-23
3404	1055115	11490319	felony	property	2012-06-08
3405	1055115	11387490	felony	property	2012-07-13
3406	1074774	10727131	felony	violent	2013-03-08
3407	43925	6751628	misdemeanor	drug	2016-08-12
3408	847994	6560817	felony	property	2016-10-07
3409	1055115	7205513	felony	property	2016-04-22
3410	43838	4738797	misdemeanor	violent	2017-11-29
3411	80009	4898588	felony	property	2017-10-31
3412	80009	4898589	felony	property	2017-10-31
3413	43925	6205103	felony	violent	2017-01-24
3414	100614	11270145	misdemeanor	violent	2012-08-23
3415	101770	10915587	misdemeanor	property	2012-12-28
3416	103801	11505978	misdemeanor	drug	2012-06-03
3417	94941	11071193	misdemeanor	property	2012-11-01
3418	112145	11108325	misdemeanor	property	2012-10-18
3419	95389	11412300	misdemeanor	other	2012-07-05
3420	114124	11433743	misdemeanor	property	2012-06-27
3421	115414	10723577	misdemeanor	property	2013-03-09
3422	25928	10584440	misdemeanor	property	2013-04-26
3423	98350	10218104	misdemeanor	other	2013-08-30
3424	106675	10661605	misdemeanor	property	2013-03-30
3425	69058	10299755	misdemeanor	property	2013-08-04
3426	69058	9870773	misdemeanor	violent	2013-12-22
3427	67939	9913398	misdemeanor	property	2013-12-11
3428	122092	8856210	misdemeanor	drug	2014-11-25
3429	92636	8957370	misdemeanor	property	2014-10-21
3430	92636	9042131	misdemeanor	property	2014-09-21
3431	92636	8992305	misdemeanor	property	2014-10-08
3432	92636	9108449	misdemeanor	property	2014-09-01
3433	56410	9226307	misdemeanor	property	2014-07-23
3434	67939	9250707	misdemeanor	property	2014-07-15
3435	92636	9294049	misdemeanor	property	2014-07-01
3436	115414	8779984	misdemeanor	property	2014-12-23
3437	115414	8811942	misdemeanor	property	2014-12-12
3438	172713	9378467	misdemeanor	drug	2014-06-03
3439	173473	8842034	misdemeanor	other	2014-12-02
3440	92636	8047838	misdemeanor	property	2015-08-18
3441	92254	8637240	misdemeanor	other	2015-02-09
3442	92254	8638771	misdemeanor	property	2015-02-08
3443	67939	8639843	misdemeanor	property	2015-02-07
3444	92636	8427396	misdemeanor	property	2015-04-19
3445	92636	8301882	misdemeanor	property	2015-05-31
3446	184900	8094899	misdemeanor	drug	2015-08-04
3447	92636	8166426	misdemeanor	property	2015-07-13
3448	92254	8702412	misdemeanor	property	2015-01-22
3449	78499	8189655	felony	other	2015-07-08
3450	92636	8202616	misdemeanor	property	2015-07-02
3451	92636	8579097	misdemeanor	property	2015-03-01
3452	92636	7875753	misdemeanor	property	2015-10-11
3453	92636	8759038	misdemeanor	property	2015-01-03
3454	196266	7986730	misdemeanor	violent	2015-09-06
3455	92220	8597718	misdemeanor	other	2015-02-24
3456	91690	7825507	misdemeanor	property	2015-10-24
3457	92636	8246483	misdemeanor	property	2015-06-17
3458	92636	7851924	misdemeanor	property	2015-10-16
3459	92636	7876758	misdemeanor	property	2015-10-10
3460	114124	8621504	misdemeanor	property	2015-02-13
3461	203355	7279968	misdemeanor	violent	2016-04-02
3462	92636	7306284	misdemeanor	property	2016-03-27
3463	92636	6870865	misdemeanor	property	2016-07-07
3464	206779	6305282	misdemeanor	property	2016-12-24
3465	206826	6892253	misdemeanor	property	2016-07-03
3466	92636	6290599	misdemeanor	property	2016-12-31
3467	67939	7367365	misdemeanor	property	2016-03-10
3468	212874	7376190	felony	property	2016-03-08
3469	92636	7387828	misdemeanor	property	2016-03-04
